employee_id,age,gender,education_level,department,job_level,experience_years,salary_lpa,training_hours,certifications_count,projects_count,avg_task_delay_days,on_time_delivery_rate,bug_count,code_review_score,qa_defect_density,story_points_completed,billable_hours_ratio,sick_days,unplanned_absences,avg_login_hours,peer_feedback_score,manager_score,kudos_count,promotions_in_2y,salary_percentile_band,manager_tenure,internal_hackathons_participated,overtime_hours_monthly,engagement_score,last_promotion_years_ago,perf_band_next
EMP10016,41,Female,Master,Support,Senior,16,25.22,21.6,2,5,-5.0,0.81,15,4.11,2.0,44.8,0.688,9,5,8.0,4.41,4.19,9,1,High,7.3,2,28.6,89.4,2.8,Medium
EMP10017,25,Male,Bachelor,Engineering,Junior,3,8.6,44.1,1,7,6.8,0.7,7,2.59,1.51,79.8,0.707,3,4,6.8,3.3,4.21,7,0,Medium,7.0,1,3.4,58.5,0.0,Low
EMP10018,53,Male,Bachelor,HR,Lead,29,23.1,60.1,3,7,4.1,0.886,7,3.41,1.9,37.2,0.965,5,3,8.4,3.75,3.18,4,0,Low,7.0,1,9.5,83.9,2.2,High
EMP10019,38,Male,Bachelor,Engineering,Senior,13,16.75,56.7,2,3,5.7,0.852,10,2.6,2.2,79.9,0.51,2,3,12.0,3.92,4.87,6,2,Medium,3.7,4,12.7,45.1,4.6,High
EMP10020,40,Female,PhD,HR,Junior,14,13.93,35.6,3,7,3.1,0.874,8,4.23,2.84,27.2,0.738,2,2,7.9,4.81,4.02,12,0,Medium,4.4,1,16.2,55.5,2.0,Medium
EMP10021,35,Male,Bachelor,Marketing,Junior,13,11.71,53.8,0,14,-0.6,0.73,4,3.68,2.8,38.3,0.704,4,0,10.1,4.3,3.92,5,1,Low,4.4,0,12.8,66.1,0.9,Medium
EMP10022,28,Other,Bachelor,Sales,Mid,7,10.47,53.6,3,5,2.3,0.665,13,3.7,0.44,36.8,0.712,0,0,5.0,3.92,4.18,7,0,Low,6.2,3,10.4,53.5,2.6,Low
EMP10023,57,Male,Bachelor,Sales,Junior,32,16.09,36.4,1,2,6.8,0.657,13,3.11,1.22,70.5,0.826,8,2,7.8,4.18,2.98,6,0,Low,7.9,0,24.0,78.2,3.1,Medium
EMP10024,51,Other,Master,HR,Junior,26,21.13,25.5,1,6,2.6,0.775,11,3.48,1.88,72.8,0.572,5,1,9.2,4.45,3.45,6,0,Medium,5.3,1,2.7,60.2,2.4,Medium
EMP10025,46,Male,Diploma,Engineering,Senior,24,16.99,26.6,1,6,2.6,0.962,15,4.25,3.21,118.9,0.716,2,1,8.1,4.02,4.13,6,1,Low,8.8,1,11.9,85.0,0.2,High
EMP10026,36,Female,Bachelor,Engineering,Mid,12,13.62,53.1,2,3,-2.1,0.841,16,4.44,0.0,63.0,0.788,3,4,7.3,3.18,3.14,14,0,Medium,6.5,1,0.0,83.0,3.7,High
EMP10027,53,Male,Bachelor,Support,Junior,31,21.25,37.2,4,6,4.4,0.732,9,4.29,1.25,82.0,0.685,2,0,8.1,4.18,3.45,10,1,Medium,4.0,0,5.7,59.9,2.0,High
EMP10028,42,Female,PhD,Finance,Mid,17,20.75,19.2,5,11,-0.4,0.68,12,2.61,0.42,68.5,0.562,3,1,9.3,3.78,4.12,10,0,High,6.3,2,0.4,64.7,3.3,Medium
EMP10029,38,Female,Bachelor,HR,Junior,13,18.91,7.7,4,6,7.7,0.71,16,3.57,0.57,80.2,0.594,5,1,10.7,3.59,3.92,7,0,High,8.3,2,23.3,68.7,1.2,Low
EMP10030,38,Female,Bachelor,Marketing,Lead,16,17.04,53.0,2,5,1.1,0.81,15,3.88,2.69,68.2,0.739,3,1,9.4,3.33,3.71,9,0,Low,8.9,2,17.9,90.3,5.2,Medium
EMP10031,29,Female,PhD,Engineering,Junior,6,9.65,28.2,3,5,2.8,0.81,15,3.19,1.32,89.2,0.604,7,1,7.5,4.15,3.74,7,0,Low,7.1,0,7.9,55.9,4.3,Medium
EMP10032,24,Male,Bachelor,Engineering,Senior,1,6.83,43.9,5,5,12.7,0.859,17,2.54,0.0,41.8,0.703,3,0,7.8,4.11,3.58,10,0,Low,4.6,0,0.0,34.4,2.4,Low
EMP10033,42,Male,Bachelor,Engineering,Senior,21,22.73,60.3,2,8,2.8,0.592,15,2.8,1.66,11.2,0.75,3,1,7.8,3.23,4.3,6,1,High,4.0,1,0.7,63.6,3.5,Low
EMP10034,55,Male,Bachelor,Support,Junior,34,19.3,14.4,2,5,2.2,0.786,12,4.75,3.63,74.2,0.82,5,3,7.1,3.14,5.0,6,1,Low,5.8,3,5.0,56.2,5.9,High
EMP10035,23,Male,Diploma,Marketing,Junior,0,7.0,37.2,3,8,6.3,0.477,10,2.87,0.17,25.3,0.895,4,2,7.9,4.93,3.9,8,0,Medium,8.2,0,12.4,47.0,5.1,Low
EMP10036,54,Female,Diploma,Finance,Mid,31,17.84,34.9,2,4,-3.1,0.68,12,3.73,2.28,93.9,0.75,3,2,7.8,4.32,4.6,7,1,Low,5.5,0,23.6,69.4,5.7,High
EMP10037,53,Female,Bachelor,Engineering,Senior,32,27.4,44.8,3,7,9.0,0.732,16,3.59,3.21,52.9,0.786,5,1,6.7,3.85,3.39,2,1,Medium,5.5,1,1.6,52.4,4.1,Medium
EMP10038,31,Female,Master,Engineering,Mid,10,12.49,60.3,0,1,8.0,0.684,13,3.59,1.76,42.2,0.434,4,3,9.1,4.16,3.22,8,1,Low,4.6,1,2.5,75.1,2.0,Low
EMP10039,45,Female,Master,Finance,Senior,22,22.69,14.1,2,7,6.1,0.908,13,3.48,3.54,124.4,0.744,2,2,8.6,3.52,3.15,8,1,Medium,3.8,1,0.0,52.0,4.1,High
EMP10040,27,Female,Diploma,HR,Senior,1,9.33,48.3,4,4,-5.0,0.707,11,4.25,1.21,64.6,0.874,3,0,7.3,3.7,3.06,11,1,Medium,4.1,1,16.0,100.0,6.1,Medium
EMP10041,50,Female,Bachelor,Support,Senior,27,24.9,56.6,1,6,3.0,0.867,11,3.72,3.1,60.4,0.863,0,4,8.3,3.81,3.49,4,1,High,4.8,7,0.0,85.9,4.1,High
EMP10042,48,Male,Bachelor,Marketing,Mid,22,18.83,34.6,3,5,-1.1,0.571,7,3.26,2.89,81.5,0.637,5,3,6.9,4.38,4.32,6,0,High,8.3,1,0.0,59.0,1.5,High
EMP10043,34,Male,PhD,Sales,Mid,11,16.4,35.5,2,8,8.5,0.818,14,3.74,1.77,82.9,0.694,5,1,7.4,2.95,4.4,4,0,Medium,4.0,2,20.7,58.4,3.1,Low
EMP10044,23,Female,Bachelor,Marketing,Senior,0,9.64,45.5,1,7,8.2,0.8,9,2.81,0.46,90.1,0.771,6,2,8.9,3.19,3.34,6,0,Low,4.6,1,31.2,67.1,4.4,Low
EMP10045,58,Female,Bachelor,Support,Junior,33,18.51,44.2,2,4,5.6,0.609,17,4.03,0.9,35.7,0.739,6,2,8.7,3.07,3.47,9,0,Low,2.6,3,16.6,81.0,3.3,Low
EMP10046,38,Male,Bachelor,Sales,Senior,17,13.97,48.5,1,6,-0.8,0.941,10,3.22,0.0,76.8,0.464,1,3,7.5,4.31,3.7,11,0,Low,6.1,0,12.9,63.3,4.4,High
EMP10047,55,Female,Master,Finance,Junior,34,22.27,48.1,2,7,10.0,0.772,14,3.26,2.33,58.5,0.835,7,3,8.5,3.74,3.86,9,0,Medium,7.5,2,37.8,52.6,1.9,High
EMP10048,47,Female,Bachelor,Support,Junior,21,14.21,20.3,3,8,3.0,0.763,12,4.06,2.23,44.7,0.769,2,3,8.0,3.25,4.11,6,0,Low,8.1,1,10.8,48.2,2.6,Medium
EMP10049,51,Male,Master,Engineering,Senior,25,21.33,55.8,2,7,11.2,0.801,11,3.41,1.87,66.1,0.627,6,3,6.9,3.67,3.42,5,0,Low,4.9,0,10.8,69.7,3.6,Medium
EMP10050,50,Male,Bachelor,Support,Mid,29,20.76,59.0,3,6,5.1,0.82,13,3.45,1.69,25.2,0.84,1,1,7.9,3.42,3.56,10,1,Low,5.8,1,10.6,59.1,3.7,Medium
EMP10051,28,Female,Master,Engineering,Junior,4,4.67,41.3,2,6,6.0,0.608,16,4.52,3.02,85.3,0.72,3,2,8.6,2.94,4.65,4,1,Low,4.2,2,31.0,74.2,1.9,Low
EMP10052,35,Female,Bachelor,Finance,Junior,9,10.14,11.1,1,12,2.2,0.65,16,3.02,2.07,58.6,0.647,4,3,8.5,4.56,3.5,13,0,Medium,5.7,0,21.4,38.1,0.0,Low
EMP10053,39,Male,Master,Marketing,Mid,13,16.0,35.9,2,8,9.6,0.865,10,4.05,1.3,54.5,0.734,4,3,6.1,3.71,3.3,5,0,Medium,5.2,1,21.3,77.1,0.0,Medium
EMP10054,40,Female,Master,Finance,Senior,18,18.85,41.5,1,5,6.4,0.77,7,4.36,1.93,62.0,0.687,6,2,8.3,4.57,3.64,8,0,Low,4.6,1,19.3,65.2,2.9,Medium
EMP10055,22,Male,PhD,Sales,Junior,0,10.59,17.4,2,11,9.8,0.993,12,4.52,3.64,61.3,0.804,1,2,8.1,2.93,3.75,9,0,High,4.8,0,11.4,43.7,3.3,Low
EMP10056,42,Female,Bachelor,Finance,Junior,18,15.6,31.5,1,7,4.7,0.973,12,5.0,2.36,90.1,0.898,1,1,5.8,4.1,2.62,11,1,Medium,5.5,0,12.8,75.4,2.6,High
EMP10057,27,Male,Bachelor,Engineering,Mid,1,5.73,12.6,2,2,3.8,0.806,10,3.25,1.45,40.9,0.687,3,0,7.1,2.93,3.39,11,0,Low,3.9,0,6.4,77.5,3.1,Low
EMP10058,49,Female,Bachelor,Engineering,Lead,28,28.63,48.9,2,7,6.4,0.857,13,3.09,1.76,56.6,0.676,1,1,8.7,5.0,3.99,7,0,High,4.0,0,12.0,57.9,5.9,High
EMP10059,47,Male,Bachelor,Engineering,Junior,23,16.61,41.0,3,5,9.8,0.955,11,4.27,2.22,60.2,0.733,2,2,9.8,2.76,5.0,14,0,Medium,8.3,3,18.8,79.7,2.1,High
EMP10060,56,Male,Bachelor,Finance,Lead,35,27.92,8.4,1,4,8.1,0.873,12,4.36,1.42,41.6,0.791,4,5,6.1,4.88,3.33,11,1,Medium,10.5,0,14.0,49.5,3.7,Medium
EMP10061,50,Female,PhD,Sales,Senior,27,28.77,44.3,3,7,4.6,0.811,11,3.15,1.34,68.5,0.659,4,4,9.3,3.79,4.24,8,0,Medium,1.9,1,24.1,35.6,6.0,High
EMP10062,35,Male,PhD,Engineering,Junior,14,14.3,37.0,3,7,-3.4,0.73,20,4.04,1.79,49.1,0.969,6,0,5.8,3.69,3.83,4,0,Medium,1.7,3,18.6,67.5,1.1,Medium
EMP10063,58,Male,Bachelor,Support,Senior,35,29.32,47.3,4,7,7.2,0.908,11,5.0,3.17,34.1,0.652,5,2,9.8,4.15,4.51,7,0,High,2.4,0,17.9,56.7,6.2,High
EMP10064,37,Male,Bachelor,HR,Senior,12,11.96,31.0,0,3,-1.8,0.496,13,3.77,2.51,76.6,0.839,5,3,7.8,3.24,3.27,11,1,Low,4.3,0,7.3,51.3,4.7,Medium
EMP10065,33,Female,Master,Sales,Mid,9,13.34,23.6,2,6,4.1,0.82,15,4.35,1.43,99.0,0.374,7,1,7.2,4.27,4.47,4,0,Low,6.5,1,3.7,78.6,2.4,High
EMP10066,56,Female,PhD,Sales,Mid,34,25.48,24.1,1,4,3.5,0.971,15,4.8,2.58,66.1,0.69,2,2,8.5,4.32,4.68,8,0,Medium,5.8,1,4.7,73.2,0.0,High
EMP10067,35,Other,Bachelor,Engineering,Senior,12,19.55,28.3,4,5,-1.7,0.747,10,5.0,1.81,62.7,0.711,2,2,6.9,3.81,4.71,11,0,High,4.9,0,26.9,94.6,5.5,High
EMP10068,23,Male,Bachelor,Marketing,Senior,0,9.93,38.3,3,11,5.5,0.961,18,3.87,2.11,62.3,0.415,2,3,8.7,3.95,4.7,8,0,Medium,5.7,4,0.0,76.3,6.2,Medium
EMP10069,39,Male,Master,Sales,Senior,14,22.22,40.7,1,6,12.6,0.952,18,4.58,2.03,53.6,0.864,4,2,8.0,4.96,3.83,14,1,High,3.0,2,17.9,78.3,1.7,Medium
EMP10070,52,Male,Bachelor,Engineering,Lead,30,25.1,34.6,1,6,2.7,0.763,10,3.15,0.0,90.7,0.623,3,4,4.0,4.19,4.11,10,0,Low,4.0,2,17.9,56.9,6.3,High
EMP10071,28,Female,Bachelor,Support,Mid,7,17.31,30.4,3,6,7.1,0.823,7,3.72,0.0,67.1,0.696,0,3,7.1,3.33,3.41,6,0,High,4.5,3,9.2,37.9,0.0,Medium
EMP10072,39,Other,PhD,Marketing,Senior,15,17.08,31.7,0,2,13.4,0.64,12,3.39,2.0,17.1,0.871,6,3,8.3,4.25,2.14,11,1,Low,1.0,2,15.6,99.7,3.5,Low
EMP10073,26,Female,PhD,Marketing,Senior,1,10.06,83.1,2,6,7.5,0.823,15,2.38,1.03,91.4,0.878,1,0,9.4,3.48,3.88,10,0,Low,1.9,1,17.7,77.4,2.7,High
EMP10074,47,Female,Master,Support,Junior,24,17.61,24.1,1,8,1.4,0.959,11,2.58,0.32,86.0,0.485,5,2,8.5,3.36,3.59,6,1,Medium,2.0,0,4.4,94.1,0.6,High
EMP10075,39,Male,Master,Support,Junior,17,12.98,28.0,1,7,4.9,0.884,7,4.0,1.06,78.2,0.666,4,2,9.4,4.11,4.37,8,1,Low,6.2,1,8.1,52.3,2.6,High
EMP10076,33,Female,Bachelor,HR,Mid,12,12.48,97.3,2,6,5.9,0.78,15,4.01,2.63,10.0,0.555,7,1,7.0,3.19,4.3,9,0,Low,5.0,2,14.7,85.1,2.9,Medium
EMP10077,29,Male,Bachelor,Finance,Senior,3,13.37,45.6,2,7,9.7,0.824,14,2.97,2.12,64.9,0.635,0,1,9.0,3.83,2.96,6,0,Medium,5.8,0,15.0,74.3,0.9,Low
EMP10078,43,Male,Bachelor,Finance,Junior,18,13.53,13.2,0,7,8.9,0.638,9,4.79,2.49,84.7,0.81,5,0,9.0,4.2,5.0,9,0,Medium,0.5,1,1.8,85.9,4.2,High
EMP10079,47,Male,Bachelor,Engineering,Senior,26,26.1,53.2,0,3,-5.0,0.871,13,2.92,2.21,73.3,0.828,5,2,6.1,4.95,3.97,9,1,High,1.2,3,16.0,78.7,1.8,High
EMP10080,57,Male,Bachelor,Engineering,Junior,35,23.92,21.6,2,5,0.6,0.859,17,3.88,0.97,69.5,0.801,2,3,9.4,4.18,2.8,4,0,High,6.0,2,16.4,66.6,2.4,High
EMP10081,38,Male,Bachelor,Engineering,Mid,17,19.66,54.4,2,4,3.7,0.888,13,3.41,2.5,84.7,0.71,3,3,8.5,2.92,2.9,6,1,High,0.0,4,25.2,74.2,5.6,Medium
EMP10082,27,Male,Bachelor,Finance,Mid,4,13.09,34.2,0,2,-0.1,0.697,11,3.77,2.33,68.1,0.772,4,3,7.8,3.01,2.18,7,1,Medium,7.2,3,14.9,64.7,1.8,Low
EMP10083,53,Male,Master,Marketing,Junior,28,17.56,30.1,1,7,-5.0,0.691,14,4.33,1.69,91.5,0.804,5,1,7.7,4.84,4.23,5,0,Low,0.5,4,11.1,82.6,0.0,High
EMP10084,45,Female,Bachelor,Marketing,Senior,24,23.67,67.0,1,7,1.1,0.693,7,4.23,1.85,68.6,0.801,10,2,6.9,3.42,3.33,8,0,High,6.4,1,22.8,58.1,2.5,High
EMP10085,48,Male,Bachelor,HR,Junior,23,17.58,48.2,4,2,4.0,0.716,7,4.2,2.51,66.8,0.947,5,1,8.9,2.89,3.11,12,1,Medium,2.5,1,26.3,59.5,3.2,Medium
EMP10086,24,Male,Bachelor,Engineering,Lead,3,15.39,55.5,3,4,1.9,0.495,11,4.11,1.13,84.6,0.38,8,1,8.5,3.2,3.25,5,1,Medium,6.8,0,1.3,67.6,2.6,Medium
EMP10087,33,Female,Bachelor,Sales,Junior,8,9.15,45.8,1,6,0.0,0.757,18,2.81,2.78,56.2,0.442,3,6,8.8,4.28,3.49,5,1,Medium,11.6,1,9.9,79.2,4.5,Low
EMP10088,50,Female,Master,Sales,Lead,28,24.37,30.0,2,9,4.2,0.738,11,4.49,2.31,40.9,0.713,1,3,8.2,3.87,4.1,8,1,Medium,0.0,0,0.0,70.8,3.7,Medium
EMP10089,53,Female,Bachelor,Support,Mid,27,17.63,49.0,3,6,5.4,0.956,16,2.96,1.8,65.1,0.955,4,1,8.3,4.19,2.55,12,0,Low,6.0,0,5.5,65.1,1.9,High
EMP10090,37,Male,Bachelor,Support,Junior,14,9.84,59.8,2,4,2.1,0.629,13,3.63,3.18,78.0,0.809,2,0,7.7,3.78,2.95,8,0,Low,0.5,0,30.0,85.8,4.3,Low
EMP10091,52,Female,Master,Support,Junior,30,21.08,40.4,2,7,9.5,0.805,10,3.45,0.64,85.4,0.567,5,2,9.4,3.14,4.03,9,0,Low,5.4,1,4.4,78.8,3.8,High
EMP10092,53,Male,Bachelor,Support,Junior,31,16.04,70.4,4,4,4.2,0.918,14,3.95,1.39,85.5,0.564,4,1,8.8,2.73,3.28,10,1,Low,4.0,0,19.8,63.1,3.8,High
EMP10093,36,Male,Diploma,Support,Mid,11,7.91,53.3,4,5,0.5,0.737,10,3.36,1.19,63.5,0.384,2,3,8.3,3.3,4.11,4,1,Low,4.8,1,19.2,54.4,2.7,Low
EMP10094,56,Female,Bachelor,Sales,Senior,33,29.46,41.8,1,7,-0.5,0.646,8,3.59,2.12,61.2,0.881,5,2,7.9,3.87,3.35,5,0,High,2.5,0,9.3,67.4,3.5,High
EMP10095,32,Female,Bachelor,Engineering,Mid,9,12.18,42.5,1,5,3.1,0.905,11,4.83,2.86,52.0,0.475,2,2,6.0,3.09,4.8,4,0,Medium,6.2,0,10.5,60.6,3.2,Medium
EMP10096,30,Female,Master,Engineering,Mid,5,8.56,40.5,1,6,8.5,0.9,15,2.79,0.92,70.5,0.745,8,0,5.7,4.39,3.85,6,0,Low,1.3,0,29.0,58.4,2.5,Low
EMP10097,47,Female,Bachelor,HR,Mid,23,18.02,15.5,1,6,0.7,0.67,14,3.7,4.77,28.9,0.623,4,2,7.7,3.2,4.56,11,0,Low,7.2,2,24.5,81.2,3.9,Low
EMP10098,45,Female,Diploma,Engineering,Mid,21,20.59,36.4,2,6,6.4,0.591,5,2.92,1.2,65.5,0.87,2,2,9.6,2.81,4.06,6,0,High,3.6,1,37.5,86.9,4.0,Medium
EMP10099,26,Male,Diploma,Engineering,Senior,3,12.86,42.0,4,4,4.4,0.689,10,4.17,2.12,127.7,0.784,6,2,7.3,3.8,4.1,9,1,Medium,1.4,2,0.0,69.1,4.0,High
EMP10100,53,Male,Bachelor,Support,Mid,32,24.7,30.5,0,7,12.0,0.771,18,3.19,1.8,31.9,0.737,4,3,7.3,4.26,3.17,10,0,Medium,8.0,1,20.4,69.9,4.1,Low
EMP10101,28,Male,Diploma,Engineering,Senior,7,14.34,44.1,4,7,5.6,0.873,17,3.73,1.84,68.5,0.807,6,2,6.9,4.7,4.52,6,0,High,4.4,0,0.0,58.9,0.0,Medium
EMP10102,52,Male,Master,Support,Lead,31,28.23,38.4,3,7,1.2,0.673,9,2.77,1.09,73.3,0.842,4,4,6.6,2.83,3.85,8,0,High,8.7,1,14.7,54.1,4.6,Medium
EMP10103,21,Female,Bachelor,Marketing,Mid,0,8.38,51.9,1,7,6.9,0.981,9,4.6,2.76,76.1,0.74,2,2,7.0,4.65,3.03,9,0,Low,7.2,3,12.8,81.9,1.3,High
EMP10104,52,Male,Bachelor,Finance,Junior,28,19.11,49.9,3,9,7.1,0.832,7,3.75,1.03,43.7,0.74,4,1,8.4,3.91,2.22,5,0,Medium,2.7,0,3.6,50.9,5.0,Medium
EMP10105,51,Female,Bachelor,Finance,Junior,26,22.92,41.0,3,5,2.4,0.709,19,3.8,0.21,76.3,0.94,2,1,7.5,3.43,3.8,6,1,Medium,4.3,3,9.0,60.7,0.6,High
EMP10106,51,Female,Bachelor,HR,Mid,25,24.9,13.4,4,8,-0.7,0.753,15,4.28,0.79,53.2,0.646,7,3,7.5,4.21,4.76,5,1,High,4.8,0,12.0,60.2,5.8,Medium
EMP10107,46,Female,Diploma,Finance,Mid,24,20.86,70.2,3,5,6.1,0.782,17,2.82,3.1,33.6,0.506,4,0,7.3,4.61,3.06,5,1,Medium,7.9,1,19.4,76.4,0.0,Medium
EMP10108,39,Male,Master,Engineering,Lead,13,18.23,35.4,1,6,4.3,0.763,9,3.27,2.93,85.9,0.621,5,2,8.4,2.79,3.04,8,0,Medium,5.5,1,3.6,67.0,3.6,Medium
EMP10109,48,Male,Master,Support,Mid,22,20.07,36.5,1,7,-2.1,0.497,12,3.82,0.0,79.6,0.643,5,2,8.6,3.54,3.48,10,0,Medium,4.9,0,7.6,61.5,2.3,High
EMP10110,31,Other,Diploma,HR,Mid,7,12.36,31.8,2,8,5.0,0.741,11,2.47,2.53,43.7,0.562,6,4,5.9,3.47,4.47,7,1,Medium,4.1,1,20.2,90.4,3.8,Low
EMP10111,51,Female,Bachelor,Engineering,Senior,27,23.22,29.2,0,5,1.5,0.674,15,2.54,0.02,53.0,0.815,3,1,7.2,4.18,2.41,9,1,Medium,4.4,0,22.2,94.5,6.1,Medium
EMP10112,42,Female,Master,Marketing,Junior,20,14.38,65.8,8,7,-2.1,0.85,11,3.13,1.78,52.2,0.789,4,3,8.0,4.68,3.24,7,0,Low,7.4,0,41.3,75.8,3.4,High
EMP10113,38,Female,Bachelor,Finance,Senior,16,18.77,62.9,5,8,2.6,0.711,12,2.9,0.71,28.8,0.836,4,2,8.6,3.84,3.0,6,0,Medium,4.5,1,16.7,72.2,4.7,Low
EMP10114,40,Female,Bachelor,Sales,Junior,19,14.16,46.0,6,5,9.1,0.735,14,3.46,2.6,81.8,0.497,2,2,8.3,3.62,4.09,10,0,Medium,3.6,2,21.3,62.4,5.8,Medium
EMP10115,43,Male,Bachelor,Finance,Mid,19,19.42,36.1,1,2,8.8,0.671,12,4.07,2.3,82.6,0.819,3,0,9.1,4.07,3.6,10,1,High,3.3,0,12.8,69.7,1.9,Medium
EMP10116,22,Female,Master,Engineering,Lead,0,13.53,49.1,1,6,7.8,0.644,7,4.22,2.68,57.7,0.598,2,2,6.4,3.66,3.46,6,0,Medium,3.3,1,29.0,51.9,3.7,Low
EMP10117,26,Male,Master,Finance,Senior,4,13.48,39.3,2,6,5.1,0.897,13,4.97,1.53,64.4,0.575,5,3,8.6,2.5,3.57,9,0,Medium,1.4,3,5.7,84.8,5.5,Medium
EMP10118,30,Female,Bachelor,Engineering,Senior,9,13.93,34.6,2,6,6.4,0.684,19,3.68,1.63,67.5,0.851,2,1,10.6,4.11,4.25,10,1,Medium,2.8,0,14.3,68.0,3.6,Medium
EMP10119,25,Female,PhD,Engineering,Mid,4,15.61,44.1,2,10,4.4,0.676,12,3.81,0.45,70.4,0.812,4,2,8.2,4.39,4.49,6,0,High,7.8,0,17.5,59.7,1.9,Medium
EMP10120,38,Female,Bachelor,Engineering,Senior,14,13.04,30.1,1,8,-0.4,0.907,15,3.68,0.87,35.4,0.947,4,1,8.2,4.44,4.42,5,0,Low,4.0,1,19.9,65.0,3.9,Medium
EMP10121,47,Male,Bachelor,HR,Mid,22,20.24,42.5,6,6,0.4,0.818,12,3.92,2.65,75.7,0.667,4,3,8.7,3.11,4.1,3,0,Medium,6.0,2,24.4,80.6,3.2,High
EMP10122,46,Male,Bachelor,HR,Mid,22,22.98,41.7,1,6,1.6,0.832,10,3.98,2.13,39.1,0.402,3,0,7.4,4.16,4.67,7,0,High,0.0,3,13.0,66.2,3.9,High
EMP10123,39,Female,Bachelor,Sales,Junior,18,13.33,48.9,2,3,9.6,0.868,12,4.35,1.89,80.0,0.504,4,4,7.0,4.72,3.05,9,0,Low,5.8,1,23.9,58.2,2.0,Medium
